,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,468,0.10567742081072468,0.9671307425213675,0.9996846654671588,0.6742866677790756,0.425830135157684,0.023106407803701403,0.00045280446832127294,0.9945,1.0,0.0
valid_max,99,468,0.422362215227933,0.9675146901709402,0.9997774150467429,0.6773978315262719,0.49958256804140927,0.08084512864463503,0.001826333399357038,0.9962,1.0,0.00022172949002217295
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
