,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,468,0.422362215227933,0.8690738514957265,0.903106742094037,0.5626982801803306,0.49958256804140927,0.08084512864463503,0.001139844296810391,0.9794,0.9998891352549889,0.00011086474501108647
1,1,468,0.19292680849122185,0.9491185897435898,0.9836038208290828,0.638670896643847,0.45700450826515276,0.04634230614557296,0.0005039601211445213,0.9867,0.9998891352549889,0.00011086474501108647
2,2,468,0.17356479005553785,0.9537259615384616,0.9885754557762569,0.639766081871345,0.4556390977443609,0.07991751123078261,0.0012735279224088257,0.9767,0.9998891352549889,0.00011086474501108647
3,3,468,0.16771669493208075,0.9557458600427351,0.9909291583965572,0.6393661384487073,0.45771476230191827,0.031479727444415795,0.0010602276748280749,0.9916,0.9997782705099778,0.00022172949002217295
4,4,468,0.15852440623805308,0.957832532051282,0.992154025930666,0.6489734601902855,0.44817225838758135,0.027509203398765267,7.989494886868682e-05,0.9924,1.0,0.0
5,5,468,0.15581154690370855,0.9576989850427351,0.9928963572965354,0.6407815631262525,0.4574148296593186,0.020569266608468244,0.00027393846134991307,0.9932,1.0,0.0
6,6,468,0.15171966244840723,0.9588675213675214,0.9937123249559492,0.6451828351978628,0.4524962431123727,0.021763191534842873,8.34695906056547e-05,0.9934,1.0,0.0
7,7,468,0.15014707959360546,0.9594684829059829,0.9939160112776376,0.6495327102803738,0.44876502002670227,0.02080240926765719,1.1786872577636452e-05,0.994,1.0,0.0
8,8,468,0.14981499835689607,0.9596354166666666,0.9944909202203632,0.646087101618555,0.45135991990655766,0.0305498001943755,4.608859317351078e-06,0.9919,1.0,0.0
9,9,468,0.14650385628621548,0.9596187232905983,0.9949921172215525,0.6411754883953915,0.45667056269828016,0.021607428059701016,6.18474889922933e-05,0.9932,1.0,0.0
10,10,468,0.14258268259815934,0.9606370192307693,0.995362469392298,0.6484322881921281,0.4508005336891261,0.019032389760353378,6.80842065161363e-05,0.9942,1.0,0.0
11,11,468,0.14578816523122737,0.959518563034188,0.9951029493600445,0.6394728061394728,0.45912579245912577,0.016264248659238926,1.2339162963080142e-05,0.995,1.0,0.0
12,12,468,0.14198254793086368,0.9610710470085471,0.9958821019828977,0.6479225763390623,0.4506924745536459,0.01882238577442727,3.6060451825057535e-05,0.9947,1.0,0.0
13,13,468,0.14008565277306953,0.9613548344017094,0.9964758689765182,0.6452420701168614,0.4532554257095159,0.019796515331983778,0.00023490782820170377,0.9939,1.0,0.0
14,14,468,0.14138747569428295,0.9605869391025641,0.9963273482712569,0.639018691588785,0.45861148197596796,0.018574050930476028,3.9804992546021205e-06,0.9949,1.0,0.0
15,15,468,0.13883554303429574,0.9615718482905983,0.9960861419747361,0.651092941765393,0.4476889704655431,0.027046287280530965,5.67639344552217e-05,0.9924,1.0,0.0
16,16,468,0.1393583821108899,0.9614216079059829,0.996067811700115,0.6495826377295493,0.44841402337228714,0.017331345852124033,4.40042507671704e-07,0.9949,1.0,0.0
17,17,468,0.1383809095694341,0.9618723290598291,0.9969948801662091,0.6460973982655104,0.4523015343562375,0.04125269410742706,5.895594154666674e-06,0.9881,1.0,0.0
18,18,468,0.13867894877703527,0.9614383012820513,0.9967725181777711,0.6435246995994659,0.45477303070761016,0.017486963684146022,0.00013773270989653433,0.9949,1.0,0.0
19,19,468,0.13737060625153857,0.9618723290598291,0.9966241282089331,0.6491989319092123,0.44959946595460615,0.02050839083695112,1.222442504410832e-05,0.994,1.0,0.0
20,20,468,0.13749190169171646,0.9613548344017094,0.9965682910089224,0.6447039199332777,0.45387823185988324,0.020247935615126278,2.840873363106446e-06,0.9941,1.0,0.0
21,21,468,0.13829181037652186,0.9607872596153846,0.9971064492793946,0.6339509263895844,0.4636955433149725,0.01912406211202416,3.2724441661883527e-06,0.9948,1.0,0.0
22,22,468,0.13662220916957554,0.9613715277777778,0.9973662246128164,0.6373351143763567,0.461011855067624,0.016387327177791938,7.850655036774287e-05,0.995,1.0,0.0
