,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.5333539591385767,0.44166666666666665,0.4578061740890688,0.13501602564102563,0.4547275641025641,1.101886814153647,2.7391782344227105,0.6123,0.09944444444444445,0.5904444444444444
1,1,390,1.0768750864725847,0.6281850961538461,0.6552240379546652,0.11422845691382766,0.657314629258517,0.8856422425825384,3.0930064194638964,0.7003,0.05511111111111111,0.6794444444444444
2,2,390,0.8750160530591622,0.7054286858974359,0.7359143049932524,0.12620192307692307,0.7219551282051282,0.6906224923043311,3.708835863731277,0.7708,0.042333333333333334,0.7641111111111111
3,3,390,0.7246780378696246,0.7599358974358974,0.7803854588394062,0.3713942307692308,0.5853365384615384,0.679577170670787,0.48660965284831087,0.7765,0.8538888888888889,0.12588888888888888
4,4,390,0.6257152404540625,0.7960336538461539,0.8093410648392199,0.5430861723446894,0.4677354709418838,0.7015929437136348,0.588999029616235,0.771,0.8312222222222222,0.13833333333333334
5,5,390,0.5686710045123712,0.8143830128205128,0.8285816709544094,0.5448358686949559,0.46717373899119297,0.6834144592285156,0.22321747106985307,0.7805,0.9337777777777778,0.05688888888888889
6,6,390,0.511526030760545,0.8354767628205129,0.848624143384291,0.5855711422845692,0.45250501002004007,0.5518718214729165,0.20418126650259527,0.819,0.939,0.05366666666666667
7,7,390,0.4730787069369585,0.8469751602564103,0.8603238866396761,0.5933493589743589,0.43830128205128205,0.5251782853392106,0.4085242676902825,0.8308,0.8814444444444445,0.10811111111111112
8,8,390,0.44802283159433265,0.8573116987179488,0.8710622865095096,0.5958299919807538,0.4366479550922213,0.5197229034538511,0.5324726835103102,0.8335,0.854,0.12977777777777777
9,9,390,0.4149396903239764,0.8664863782051282,0.880123987854251,0.6073717948717948,0.437099358974359,0.646727050784268,0.18129217779447496,0.8007,0.9457777777777778,0.04544444444444445
10,10,390,0.3940801538335971,0.8745392628205129,0.8885655850043225,0.6077015643802648,0.4388287204171681,0.4586990945324113,0.1908104186746436,0.8516,0.9466666666666667,0.04788888888888889
11,11,390,0.37729244323877187,0.8792267628205128,0.893640350877193,0.6053685897435898,0.4407051282051282,0.44504997002173075,0.3082751665316837,0.8613,0.9062222222222223,0.08511111111111111
12,12,390,0.3564719860370342,0.8872395833333333,0.9020199038542633,0.6059390048154093,0.44703049759229535,0.42044959679434574,0.29284832804975375,0.8639,0.9145555555555556,0.07766666666666666
13,13,390,0.3450447461161858,0.8910657051282052,0.9057841131940197,0.6115338406087305,0.44373247897476975,0.45945336018936545,0.19591397172968153,0.8567,0.9443333333333334,0.050777777777777776
