,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,390,0.012988746640248558,0.996474358974359,0.9995150134952766,0.9387019230769231,0.16105769230769232,0.36953265446273587,0.6014630569958351,0.9263,0.8835555555555555,0.11355555555555556
valid_max,99,390,1.5333539591385767,0.996474358974359,0.9995361096468107,0.9391513210568455,0.7219551282051282,1.101886814153647,3.708835863731277,0.9282,0.9727777777777777,0.7641111111111111
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
