,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,468,0.3627285030073462,0.8910089476495726,0.9118928797357138,0.49432576769025366,0.5584112149532711,0.09165540699481586,0.01669453136753258,0.9726,0.9942350332594235,0.005764966740576497
1,1,468,0.13710773475547758,0.9677483974358975,0.9851339003303577,0.6375166889185581,0.46562082777036046,0.03919339929176848,0.0010260065572522212,0.9887,0.9995565410199556,0.0004434589800443459
2,2,468,0.11997289442194578,0.9719050480769231,0.9895624670532419,0.6362725450901804,0.467935871743487,0.04260767116270299,0.0005933868214668391,0.988,0.9997782705099778,0.00022172949002217295
3,3,468,0.11433556673522943,0.9742087339743589,0.9921448027414111,0.6338779593197733,0.4704901633877959,0.026379886307293855,0.001695218034667409,0.9942,0.9996674057649667,0.0003325942350332594
4,4,468,0.10383971638452166,0.9760783920940171,0.9929535390454769,0.6555407209612817,0.4512683578104139,0.029432685768726884,2.730538059095797e-06,0.9943,1.0,0.0
5,5,468,0.10509435160873601,0.9756610576923077,0.9933581669946584,0.6390374331550802,0.46390374331550804,0.01952755266411489,0.0004657445449634573,0.995,1.0,0.0
6,6,468,0.10334257269477169,0.9760783920940171,0.9936216197220221,0.6424991647176745,0.4634146341463415,0.02089654528123291,0.0021747805528231226,0.9937,0.9996674057649667,0.0003325942350332594
7,7,468,0.09648540993937506,0.9776976495726496,0.9944119352627971,0.660326993660327,0.4461127794461128,0.02090896797643479,0.00017470329522169983,0.9941,1.0,0.0
8,8,468,0.09887923067833623,0.9768796741452992,0.9947986223378084,0.6365153538050734,0.4706275033377837,0.033885984893746765,5.389009837011106e-06,0.9912,1.0,0.0
9,9,468,0.09290552794392037,0.9785323183760684,0.9958004603679429,0.6501837621115937,0.45506181089208153,0.023421394927545063,9.064786223769287e-05,0.9927,1.0,0.0
10,10,468,0.0939420211670172,0.9776308760683761,0.9950621188957421,0.6466466466466466,0.4601267934601268,0.01955313827250082,0.0013752069716131917,0.9934,1.0,0.0
11,11,468,0.09260013599235278,0.9780482104700855,0.9955367340842397,0.6457429048414023,0.4601001669449082,0.023710023588206196,6.660080532743501e-06,0.9939,1.0,0.0
12,12,468,0.09275579721961394,0.9783319978632479,0.9960111056441977,0.6425233644859814,0.4612817089452603,0.04260232194645118,3.039021848194288e-05,0.9873,1.0,0.0
13,13,468,0.09067728932604639,0.9786825587606838,0.9962748853472967,0.6441697293685266,0.4620781824256599,0.02050607836262995,5.8252920047072596e-05,0.9948,1.0,0.0
14,14,468,0.09091884527021112,0.9786157852564102,0.9964153297369485,0.6404006677796327,0.4651085141903172,0.015105672014871306,0.00013180311493734209,0.996,0.9998891352549889,0.00011086474501108647
15,15,468,0.08923162129293713,0.979316907051282,0.9965207000773177,0.6525367156208278,0.45260347129506007,0.01797280730893305,0.0008007413075382585,0.9936,1.0,0.0
16,16,468,0.08873395264769594,0.9792167467948718,0.9964504111899909,0.6518691588785047,0.45427236315086783,0.01465663470510582,1.7868744574205804e-05,0.9953,1.0,0.0
17,17,468,0.08851885550424583,0.9791499732905983,0.9970301901381226,0.6397598398932621,0.4666444296197465,0.0307242853841096,0.0003423511844233308,0.9904,0.9998891352549889,0.00011086474501108647
18,18,468,0.0879990465970885,0.9797342414529915,0.9972939729397294,0.6459585838343354,0.4612558450233801,0.01560415728297674,1.180211209167526e-05,0.9949,1.0,0.0
19,19,468,0.08612953569007735,0.9797676282051282,0.9973113555688328,0.6467645096731154,0.4599733155436958,0.04149789081096555,1.979144235519925e-05,0.9882,1.0,0.0
20,20,468,0.08774411390758415,0.9795339209401709,0.9972059676313986,0.6439773106439773,0.4611277944611278,0.017650378852142493,1.3804919618310186e-05,0.9951,1.0,0.0
21,21,468,0.08687884063444012,0.9793669871794872,0.9971532000140583,0.6417611741160774,0.46430953969312877,0.019231972123622966,2.018286044432616e-06,0.9941,1.0,0.0
22,22,468,0.08613923232222342,0.9797008547008547,0.9976100938389625,0.6397598398932621,0.4666444296197465,0.016075336859529082,0.00012900621896080056,0.9955,1.0,0.0
23,23,468,0.08630842031138894,0.9797676282051282,0.9977331435500026,0.6386386386386387,0.4681348014681348,0.0174632043974869,1.5610748441374623e-05,0.9954,1.0,0.0
24,24,468,0.08025621564095664,0.9814369658119658,0.9981548842848859,0.6639973306639974,0.4417751084417751,0.022210631890906187,6.463034909577633e-05,0.9943,1.0,0.0
25,25,468,0.08311078393768169,0.9805021367521367,0.9977507556055387,0.6528704939919893,0.4529372496662216,0.02729124706857425,3.3449027847689674e-05,0.9932,1.0,0.0
26,26,468,0.08426734168106356,0.9798344017094017,0.9973466411288197,0.6470784641068448,0.45976627712854756,0.018404570523291367,9.597353953363958e-05,0.9942,1.0,0.0
27,27,468,0.083198612744912,0.9804854433760684,0.9978211210683535,0.6509686038744155,0.4545758183032732,0.019417738575485382,6.845892913191511e-05,0.9944,1.0,0.0
