,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,468,0.05843611782353021,0.9837740384615384,0.9998067157491521,0.6789174741062479,0.4279986635482793,0.017744468990713358,0.00038797137010629406,0.996,1.0,0.0
valid_max,99,468,0.3627285030073462,0.9846921741452992,0.9998945648162791,0.6973640306973641,0.5584112149532711,0.09165540699481586,0.01669453136753258,0.9968,1.0,0.005764966740576497
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
