,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,390,0.005737612010218585,0.9997395833333333,0.9997774266064234,0.9993989180524945,0.012221999599278702,1.5553090828883498,0.7677070303605154,0.6731,0.8612121212121212,0.11494949494949495
valid_max,99,390,3.71845975288978,0.9997996794871795,0.999844212494158,0.999799759711654,0.25500400320256206,3.455758918689776,2.354182142477769,0.6731,0.9443434343434344,0.15262626262626264
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
