,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,390,0.005400278939244648,0.9998197115384615,0.9998102266736953,1.0,0.012424849699398798,1.3274637158912947,0.27897337145912343,0.7024,0.933030303030303,0.02616161616161616
valid_max,99,390,3.73326788743337,0.9998998397435898,0.9998945659279252,1.0,0.13896676011213457,3.3354759095590327,2.341322382291158,0.704,0.9511111111111111,0.10343434343434343
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
