,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.5885735154151917,0.4127804487179487,0.4348861537091856,0.21378481266279303,0.4365858545381687,1.2267065214205393,1.8392535061903403,0.5679,0.19311111111111112,0.5405555555555556
1,1,390,1.1560191967548468,0.5876201923076924,0.6249443603667765,0.25140336808340014,0.5721732157177225,0.905700865425641,1.1594029228452225,0.6958,0.519,0.37922222222222224
2,2,390,0.8830300248586215,0.6981770833333333,0.7143715640232366,0.5523943097575637,0.4167501502704869,0.7608440171314191,0.6260512299101118,0.7435,0.8108888888888889,0.15855555555555556
3,3,390,0.7445806347406827,0.7495793269230769,0.7667482750945915,0.5949899799599199,0.40981963927855714,0.7272600452356701,0.19845931190000454,0.7645,0.9455555555555556,0.04577777777777778
4,4,390,0.6645286518793839,0.7813301282051283,0.8002448252837747,0.6110220440881764,0.4132264529058116,0.8004109021983569,0.2322054811241761,0.7448,0.9227777777777778,0.06077777777777778
5,5,390,0.6184117201811228,0.7957932692307692,0.8184752365052866,0.5917917917917918,0.42502502502502504,0.6161087457137772,0.23766409673951042,0.8043,0.9308888888888889,0.059555555555555556
6,6,390,0.5566705628847465,0.8198717948717948,0.8432638162434063,0.6092967341214186,0.4245642155880585,0.583890888509871,0.17182408936951363,0.7989,0.9461111111111111,0.04533333333333334
7,7,390,0.5259931844014388,0.8290665064102564,0.8522590696639216,0.6202404809619239,0.4124248496993988,0.6247001954271824,0.23740284297038133,0.8055,0.9395555555555556,0.052222222222222225
8,8,390,0.4945017649577214,0.8394030448717948,0.8637628257918049,0.6201162091765178,0.4169505109196554,0.5047446564783024,0.41325726832302523,0.8332,0.8798888888888889,0.1058888888888889
9,9,390,0.46411211204070313,0.8517027243589743,0.8765135327635327,0.6284054487179487,0.4154647435897436,0.5406282446052455,0.14005511812865734,0.8338,0.9503333333333334,0.043555555555555556
10,10,390,0.44756063494162684,0.8581730769230769,0.8838886292314883,0.6265784726398076,0.4183203046702746,0.4837368721071678,0.1890828093303971,0.8489,0.9452222222222222,0.049
11,11,390,0.4248655616472929,0.8647035256410256,0.8918912903154005,0.6200680953334669,0.4259963949529341,0.44007662051840674,0.3723346843895778,0.858,0.9055555555555556,0.08588888888888889
12,12,390,0.40626658472495203,0.8697516025641026,0.8972424384055552,0.6221687712968531,0.4283423531769894,0.39495040721531155,0.13884185954705405,0.8717,0.958,0.03888888888888889
13,13,390,0.39400072812269893,0.8743389423076923,0.9032207803770561,0.6144602443420789,0.43440817144001603,0.42605790778805935,0.11590710431862046,0.8617,0.9623333333333334,0.034555555555555555
14,14,390,0.37535978318789065,0.8807491987179488,0.9082046031251391,0.6337605126151382,0.41790148177813374,0.3662441369098953,0.10852315793761616,0.8837,0.9638888888888889,0.03344444444444444
15,15,390,0.36181286695675974,0.8855969551282051,0.9153311965811965,0.617988782051282,0.4296875,0.47102040599418593,0.15421163582597192,0.8561,0.9506666666666667,0.04477777777777778
16,16,390,0.34469812661409377,0.8925480769230769,0.9223013576674828,0.6246492985971944,0.4278557114228457,0.3876351040752628,0.13964081291948827,0.8773,0.9572222222222222,0.039
17,17,390,0.33875067650507656,0.8926482371794872,0.9225701631390354,0.6231709761475246,0.4329524954900782,0.5149101418784902,0.09003061554181507,0.8449,0.9671111111111111,0.028333333333333332
18,18,390,0.3279089929583745,0.8958133012820513,0.9265491452991453,0.6191907051282052,0.4282852564102564,0.37813661308794083,0.2563160472405209,0.8828,0.9388888888888889,0.05522222222222222
19,19,390,0.31323329909489706,0.9016025641025641,0.932359945692092,0.6247245041073933,0.4339811660989782,0.3963842467416691,0.1442733995196685,0.8835,0.9606666666666667,0.03722222222222222
20,20,390,0.3049576902618775,0.9041466346153846,0.9353661250834632,0.6230460921843687,0.4340681362725451,0.49747290679171113,0.12381735402093806,0.8565,0.9602222222222222,0.03611111111111111
21,21,390,0.2923971129533572,0.9079927884615384,0.9385293332146355,0.6329190056134724,0.42582197273456296,0.4380240510158901,0.12720179121324818,0.8693,0.9622222222222222,0.034666666666666665
22,22,390,0.2816741299552795,0.9123597756410257,0.9436221594070645,0.6309356842316169,0.42917251051893407,0.37464071300965324,0.30341732916487774,0.8907,0.9252222222222222,0.06888888888888889
23,23,390,0.28108846507011315,0.9129607371794872,0.9450268189000912,0.6241731809981961,0.43475646422128683,0.493628338167939,0.13838886511577686,0.8649,0.9611111111111111,0.034888888888888886
24,24,390,0.26519896420530786,0.9178485576923077,0.949183101099586,0.6359631557869443,0.41770124148978777,0.37681361259538915,0.14537937588937266,0.8879,0.9596666666666667,0.03744444444444445
25,25,390,0.2607521691765541,0.9188501602564103,0.9514079020589872,0.626026026026026,0.43763763763763763,0.37272663565376135,0.14931413746425803,0.896,0.9546666666666667,0.042
26,26,390,0.25500875770663606,0.920292467948718,0.9523873121869783,0.6316316316316316,0.4264264264264264,0.4236739986116373,0.07960690044417558,0.8825,0.9673333333333334,0.030333333333333334
27,27,390,0.2428694428732762,0.9239383012820512,0.9555318154503573,0.6394066947284025,0.41992383243134895,0.4260310051561911,0.15552416943262895,0.8856,0.9576666666666667,0.03911111111111111
28,28,390,0.2468518316745758,0.9231570512820513,0.9565565743790617,0.6222935044105854,0.4374498797113071,0.437181488622593,0.14591770999553338,0.8813,0.9533333333333334,0.042555555555555555
29,29,390,0.23473514469388204,0.9271434294871795,0.9597409533983176,0.6333734456478138,0.43200962695547535,0.41446976854076867,0.1958708406858881,0.8855,0.9502222222222222,0.046
30,30,390,0.2269463552114291,0.9297275641025641,0.9624716199973289,0.6351621946335603,0.4257108530236284,0.37254590041275265,0.12154497763037052,0.9023,0.9584444444444444,0.03911111111111111
31,31,390,0.221653013332532,0.9307491987179487,0.962853327398175,0.6416833667334669,0.41643286573146293,0.45397808261309996,0.05271250246026342,0.8835,0.9775555555555555,0.021555555555555557
32,32,390,0.2212213135491579,0.9324719551282051,0.9658119658119658,0.6324118589743589,0.429286858974359,0.37224428619765026,0.10270738457969035,0.8978,0.9653333333333334,0.03166666666666667
33,33,390,0.21368197865593128,0.9340344551282052,0.9668358262108262,0.6388221153846154,0.4232772435897436,0.4337970356963858,0.07702438582331729,0.8932,0.9701111111111111,0.028777777777777777
34,34,390,0.20868682926281903,0.9357772435897436,0.9686380127762815,0.6400961345884238,0.424193871419988,0.414164993204648,0.20366797354859364,0.893,0.9478888888888889,0.04844444444444444
35,35,390,0.19810511937890296,0.9400040064102564,0.9712912271331285,0.6580425190533494,0.40794223826714804,0.40018806502788884,0.16940645106189267,0.898,0.9513333333333334,0.04488888888888889
36,36,390,0.19420229208010895,0.9405649038461539,0.9734440388211201,0.644915932746197,0.4213370696557246,0.3784017272387879,0.09889959706350977,0.9007,0.9695555555555555,0.028666666666666667
37,37,390,0.19679122479298175,0.9398036858974359,0.9727335455294144,0.6435009012617665,0.4225916282795914,0.3665739904287495,0.09198658502436059,0.9028,0.9686666666666667,0.029777777777777778
38,38,390,0.18765876873945578,0.9434094551282052,0.9771614281898318,0.639911929543635,0.4237389911929544,0.3857118251580226,0.1166082639105759,0.906,0.9662222222222222,0.032
39,39,390,0.18545931216615896,0.9432692307692307,0.9761205323363155,0.6472121941436021,0.416766947452868,0.3582272773867921,0.14265964427982575,0.9092,0.9566666666666667,0.04066666666666666
40,40,390,0.18088877650980767,0.9446113782051282,0.9777659077251786,0.6460212467428342,0.4223291240729605,0.3566100482321993,0.143121926704238,0.9119,0.9608888888888889,0.03711111111111111
41,41,390,0.17280967243206807,0.947636217948718,0.9796554333793349,0.6595915098117742,0.4066880256307569,0.3539898535118827,0.12079347935046109,0.91,0.9584444444444444,0.03888888888888889
42,42,390,0.17677212614470567,0.9450520833333333,0.978364903064972,0.6453034247947126,0.4203885439615462,0.3792236087065709,0.19648500765398355,0.9087,0.9491111111111111,0.048
43,43,390,0.1632324921206022,0.95078125,0.9827946937321937,0.6626602564102564,0.4092548076923077,0.36641383699223967,0.1470563637722336,0.9115,0.9605555555555556,0.03766666666666667
44,44,390,0.16259656869448147,0.9507211538461539,0.9830387748742376,0.6599919903884661,0.4052863436123348,0.38323778055513963,0.1711515284366381,0.9077,0.9578888888888889,0.04
45,45,390,0.15977208553216396,0.951943108974359,0.9840849396785826,0.6627953544253103,0.408490188225871,0.37784960281245317,0.10090103466555633,0.9086,0.9672222222222222,0.03133333333333333
46,46,390,0.15738262772942202,0.9514222756410257,0.9838400925967146,0.6597917501001201,0.40428514217060474,0.36908123104632656,0.1500855796432621,0.912,0.9596666666666667,0.03833333333333333
47,47,390,0.15820021357100744,0.951181891025641,0.9841093207513576,0.6545709703287891,0.4143945469125902,0.3894655919527706,0.09595699836319627,0.9082,0.9698888888888889,0.028333333333333332
48,48,390,0.15219490702908772,0.95390625,0.9856662734536713,0.66800240432779,0.40352634742536564,0.38127839027703564,0.11781430313393185,0.9115,0.9647777777777777,0.034
