,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,390,0.03451139671035493,0.9896434294871795,0.998798157174334,0.9071958308278212,0.18841451192623773,0.42883114214939405,0.2792991452758581,0.918,0.9437777777777778,0.05366666666666667
valid_max,99,390,1.5885735154151917,0.9896634615384615,0.998798157174334,0.9114405930675216,0.5721732157177225,1.2267065214205393,1.8392535061903403,0.9202,0.9775555555555555,0.5405555555555556
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
